File	 backgroud 	 max rate 	 xlow 	 xhigh 	 center 	 dip center 	 dip height
40deg/40deg.scanx.ycen.chip-0.channel-A1.txt.tree.root	1361.26	24857.8	-91.3936	-88.4037	-89.8987	-89.9229	3972.88
40deg/40deg.scanx.ycen.chip-1.channel-A1.txt.tree.root	1610.96	23757.6	-120.667	-118.593	-119.63	-119.648	2175.48
40deg/40deg.scanx.ycen.chip-1.channel-A2.txt.tree.root	1900.5	25003.6	-123.12	-121.067	-122.093	-122.109	2366.25
40deg/40deg.scanx.ycen.chip-1.channel-A3.txt.tree.root	1633.58	23849.5	-125.604	-123.553	-124.579	-124.587	2379.38
40deg/40deg.scanx.ycen.chip-1.channel-A4.txt.tree.root	1504.28	23990.7	-128.126	-126.092	-127.109	-127.112	2031.05
40deg/40deg.scanx.yoff.chip-0.channel-A1.txt.tree.root	1372.96	25004.3	-91.4197	-88.4323	-89.926	-89.9157	2848.17
40deg/40deg.scanx.yoff.chip-1.channel-A1.txt.tree.root	1641.77	24139.6	-120.658	-118.628	-119.643	-119.627	-4119.82
40deg/40deg.scanx.yoff.chip-1.channel-A2.txt.tree.root	1896.16	24745.6	-123.145	-121.096	-122.12	-122.113	5000
40deg/40deg.scanx.yoff.chip-1.channel-A3.txt.tree.root	1628.98	23575.6	-125.612	-123.562	-124.587	-124.569	5000
40deg/40deg.scanx.yoff.chip-1.channel-A4.txt.tree.root	1510.23	24029.6	-128.119	-126.085	-127.102	-126.562	-413.635
40deg/40deg.scany.xcen.chip-0.channel-A1.txt.tree.root	1369.19	24727.3	-46.7663	-43.7372	-45.2517	-45.2524	4207.16
40deg/40deg.scany.xcen.chip-1.channel-A1.txt.tree.root	1609.56	23927.3	-22.3426	-19.338	-20.8403	-20.8379	2193.15
40deg/40deg.scany.xcen.chip-1.channel-A2.txt.tree.root	1917.86	24878.1	-22.1906	-19.1757	-20.6831	-20.6743	2996.83
40deg/40deg.scany.xcen.chip-1.channel-A3.txt.tree.root	1637.96	23520.8	-22.0566	-19.0388	-20.5477	-20.5491	2815.95
40deg/40deg.scany.xcen.chip-1.channel-A4.txt.tree.root	1523.72	23975.6	-21.9168	-18.9036	-20.4102	-20.4013	2784.71
